67,2,5,40,17,1,5,0,1
68,3,7,15,20,1,5,2,1
69,2,8,15,19,2,10,0,2
70,3,7,15,20,1,5,2,1
71,1,10,36,11,2,10,0,2
72,3,7,36,20,1,5,0,1
73,2,8,15,19,2,10,0,2
74,2,5,10,9,1,5,0,1
75,2,5,15,17,1,5,0,1
76,3,7,10,20,1,5,2,1
77,2,8,15,19,2,10,0,2
78,2,5,15,9,1,5,0,1
79,2,5,10,9,2,10,0,2
80,2,8,15,19,2,10,0,2
81,2,5,15,9,2,5,0,2
82,2,10,51,17,1,5,0,1
83,3,7,15,20,1,5,0,1
84,2,10,51,17,1,5,0,1
85,3,7,15,20,1,5,0,1
86,3,7,15,20,1,5,2,1
87,3,7,15,20,1,5,0,1
88,3,7,15,20,3,9,0,1
89,3,7,15,20,1,5,2,1
90,2,6,15,9,2,10,0,2
91,2,5,15,9,2,10,0,2
92,2,10,36,17,1,1,0,1
93,3,7,15,20,3,5,2,1
94,2,5,40,9,2,10,0,2
95,2,10,51,17,1,5,0,1
96,2,10,51,17,1,5,0,1
97,2,5,10,9,2,10,0,2
98,2,5,10,9,1,5,0,1
99,2,5,40,17,1,5,0,1
100,2,8,40,19,2,10,0,2
101,2,5,51,9,1,5,0,1
102,2,10,51,17,1,5,0,1
103,2,10,51,17,1,5,0,1
104,3,7,15,16,1,5,0,1
105,2,10,51,17,1,5,0,1
106,2,10,51,17,1,5,0,1
107,2,5,44,17,1,5,0,1
108,2,5,15,9,1,5,0,2
109,3,7,15,16,1,5,0,1
110,3,7,36,16,1,5,0,1
111,2,10,36,19,2,10,0,2
112,3,7,36,20,1,5,0,1
113,2,10,36,18,3,9,0,1
114,2,5,15,9,1,5,0,1
115,2,6,15,17,1,5,0,1
116,2,5,15,9,1,5,0,1
117,2,5,40,9,1,9,0,1
118,2,5,27,9,2,10,0,2
119,2,5,15,9,2,5,2,2
120,2,5,39,9,1,5,0,1
121,3,7,15,20,1,11,0,1
122,3,7,15,16,1,5,0,1
123,3,7,15,20,1,1,2,1
124,3,7,44,16,1,5,0,1
125,2,9,15,19,2,10,0,2
126,2,5,27,9,1,5,0,2
127,3,7,16,16,1,5,0,1
128,3,7,15,16,1,5,0,1
129,2,5,15,9,2,10,0,2
130,2,5,40,9,2,10,0,2
131,3,7,15,20,1,1,1,1
132,3,7,10,16,1,5,0,1
133,2,8,15,19,2,10,0,2
134,3,7,40,16,1,5,0,1
135,2,10,10,19,2,10,0,2
136,3,7,36,17,1,5,0,1
137,2,10,44,19,2,10,0,2
138,2,5,15,17,1,5,2,1
139,3,7,10,17,1,5,2,1
140,3,7,10,9,1,5,0,1
141,3,7,10,20,1,5,1,1
142,3,7,36,17,1,5,0,1
143,2,5,15,9,2,10,2,2
144,3,7,15,20,1,5,2,1
145,2,4,10,17,1,5,0,1
